name,chromosome,start_loc,end_loc
709-1303,1,94150988,94151307
710-1305,1,94394241,94394546
711-1305,1,94481587,94482100
712-1307,1,94729085,94729616
713-1311,1,95238382,95239371
714-1312,1,95313518,95314246
715-1313,1,95517524,95518034
716-1314,1,95667365,95667768
717-1315,1,95696269,95696498
718-1316,1,95895898,95896240
719-1322,1,96640775,96641079
720-1324,1,96872144,96872429
721-1324,1,96969075,96969305
722-1326,1,97173811,97174109
723-1328,1,97398274,97398503
724-1329,1,97523258,97523627
725-1330,1,97660683,97662278
726-1330,1,97769532,97770690
727-1331,1,97865756,97866034
728-1332,1,97976934,97977255
729-1333,1,98095047,98095891
730-1334,1,98201148,98201505
731-1334,1,98287480,98287849
732-1335,1,98366565,98367087
733-1335,1,98385299,98385866
734-1337,1,98651044,98651258
735-1342,1,99351714,99351961
736-1352,1,100636225,100636489
737-1353,1,100754316,100755180
738-1360,1,101606895,101607346
739-1362,1,101934630,101935143
740-1363,1,101978281,101978494
741-1363,1,101983913,101984252
742-1363,1,101984904,101985286
743-1363,1,102092161,102092683
744-1367,1,102605362,102605810
745-1370,1,102963064,102963265
746-1371,1,103032770,103033003
747-1371,1,103117336,103117993
748-1372,1,103154006,103154292
749-1372,1,103210950,103211171
750-1372,1,103212074,103212292
751-1374,1,103419462,103419854
752-1375,1,103589942,103590173
753-1377,1,103926064,103926505
754-1379,1,104158813,104159234
755-1380,1,104279763,104280073
756-1380,1,104293438,104293669
757-1381,1,104364769,104364973
758-1384,1,104768481,104768920
759-1385,1,104968612,104969601
760-1386,1,104993908,104994456
761-1386,1,105019942,105021030
762-1388,1,105355962,105356898
763-1391,1,105663826,105664647
764-1392,1,105780528,105780983
765-1392,1,105839410,105839611
766-1393,1,105989879,105991754
767-1393,1,105993773,105994038
768-1395,1,106171429,106173330
769-1396,1,106300092,106300605
770-1399,1,106712493,106712947
771-1399,1,106713656,106714644
772-1399,1,106759347,106759902
773-1399,1,106796242,106796781
774-1399,1,106802502,106802750
775-1400,1,106854852,106855374
776-1402,1,107208908,107209422
777-1405,1,107526719,107527061
778-1407,1,107822784,107823723
779-1408,1,107881325,107881566
780-1411,1,108327655,108328532
781-1412,1,108414457,108414976
782-1412,1,108416464,108416774
783-1414,1,108733267,108733571
784-1416,1,109034781,109035312
785-1419,1,109349546,109349853
786-1421,1,109614478,109614916
787-1423,1,109871646,109871965
788-1424,1,109982432,109983228
789-1426,1,110330197,110330405
790-1433,1,111259394,111259787
791-1436,1,111580877,111581408
792-1436,1,111626387,111626714
793-1437,1,111704371,111704716
794-1438,1,111864486,111865085
795-1442,1,112416534,112416951
796-1442,1,112440140,112440509
797-1442,1,112444212,112444461
798-1443,1,112556432,112557107
799-1443,1,112568872,112569346
800-1444,1,112599963,112600441
801-1444,1,112652255,112652515
802-1445,1,112838134,112838836
803-1446,1,112930512,112930825
804-1447,1,113017209,113017423
805-1455,1,114035670,114036111
806-1456,1,114182833,114183955
807-1456,1,114211593,114211842
808-1456,1,114215142,114215511
809-1456,1,114229856,114230153
810-1459,1,114557303,114558010
811-1460,1,114770497,114771161
812-1460,1,114808457,114809379
813-1468,1,115799552,115799862
814-1469,1,115889235,115889451
815-1472,1,116362920,116363585
816-184,1,116654042,116654271
817-1476,1,116861665,116862408
818-1478,1,117167374,117167693
819-1479,1,117253675,117254823
820-1480,1,117375964,117376291
821-1480,1,117434028,117434443
822-1483,1,117707708,117707929
823-1485,1,118073067,118073419
824-1486,1,118096872,118097654
825-1486,1,118128303,118128630
826-1486,1,118149850,118150257
827-1487,1,118310997,118311533
828-1487,1,118321756,118322057
829-1488,1,118388759,118389005
830-1488,1,118389219,118389718
831-1488,1,118459277,118459794
832-1489,1,118587922,118588571
833-1490,1,118627821,118628282
834-1491,1,118837394,118838033
835-1493,1,119047928,119048263
836-1493,1,119053398,119053783
837-1494,1,119189576,119189828
838-1496,1,119420294,119422877
839-1496,1,119504422,119504997
840-1496,1,119525825,119526478
841-1497,1,119648353,119649055
842-1498,1,119744332,119744610
843-1499,1,119836759,119837754
844-1499,1,119913153,119913411
845-1501,1,120073679,120073931
846-1501,1,120120917,120121280
847-1503,1,120340460,120341881
848-1503,1,120342367,120342639
849-1505,1,120599976,120600444
850-1505,1,120602843,120603990
851-1505,1,120606906,120607285
852-1508,1,120993996,120994274
853-1509,1,121177908,121178195
854-1509,1,121202596,121204715
855-1510,1,121327653,121328143
856-1511,1,121430990,121431205
857-1512,1,121527415,121527955
858-1512,1,121567592,121568081
859-1513,1,121737879,121738186
860-1514,1,121777275,121777624
861-1514,1,121781077,121781560
862-1521,1,122772271,122772773
863-1521,1,122773508,122773749
864-1529,1,123857187,123857487
865-1531,1,124045451,124046133
866-1532,1,124141443,124141754
867-1534,1,124475359,124475654
868-1538,1,124972152,124972394
869-1539,1,125134734,125134975
870-1541,1,125317838,125318204
871-1541,1,125346254,125346465
872-1541,1,125349136,125349350
873-1541,1,125349888,125350316
874-1541,1,125361931,125362164
875-192,1,125435174,125435976
876-1542,1,125560389,125561346
877-1545,1,125911448,125912249
878-1549,1,126425153,126425382
879-1550,1,126492697,126492940
880-1551,1,126669880,126670156
881-1552,1,126773489,126773799
882-1553,1,126940293,126940524
883-1555,1,127204918,127205651
884-1558,1,127564029,127564422
885-1559,1,127677228,127678137
886-1559,1,127773918,127774860
887-1560,1,127868687,127869081
888-1560,1,127880828,127881069
889-1561,1,128038533,128038780
890-1562,1,128103279,128103980
891-1563,1,128244099,128244972
892-1564,1,128359337,128359856
893-1564,1,128416824,128417442
894-1566,1,128590909,128591764
895-1567,1,128773234,128773664
896-1568,1,128852774,128853347
897-1571,1,129273317,129273770
898-1571,1,129337061,129337368
899-1572,1,129436433,129436731
900-1580,1,130462458,130462764
901-1580,1,130491206,130491525
902-1580,1,130535407,130535663
903-1581,1,130599943,130601290
904-1582,1,130715566,130715870
905-1582,1,130716676,130717833
906-1583,1,130878193,130878535
907-1585,1,131096809,131097847
908-1585,1,131129673,131129877
909-1585,1,131137776,131138378
910-1585,1,131153025,131153329
911-1586,1,131244662,131245555
912-1586,1,131308187,131308927
913-1588,1,131525716,131528397
914-1589,1,131643359,131643721
915-1589,1,131647158,131647438
916-1589,1,131648753,131648956
917-1590,1,131827610,131828289
918-1591,1,131867226,131867488
919-1591,1,131910244,131911218
920-1591,1,131962639,131963459
921-1592,1,132007342,132008412
922-1592,1,132067625,132068248
923-1593,1,132139305,132139560
924-1593,1,132190087,132191155
925-1593,1,132229003,132229380
926-1594,1,132298558,132299269
927-1594,1,132315898,132316555
928-1594,1,132360629,132361042
929-1595,1,132391390,132391882
930-1595,1,132417369,132417990
931-1596,1,132542784,132543007
932-1597,1,132741609,132741931
933-1598,1,132880310,132880946
934-1599,1,133025085,133025419
935-1600,1,133045850,133046709
936-1600,1,133131080,133131904
937-1600,1,133163776,133164521
938-1601,1,133274094,133274355
939-1602,1,133363428,133364312
940-1602,1,133423057,133424485
941-1604,1,133609752,133610435
942-1604,1,133660887,133661444
943-1606,1,133908469,133908800
944-1607,1,134078807,134079438
945-1608,1,134092985,134093242
946-1609,1,134234704,134235655
947-1609,1,134298895,134299450
948-1609,1,134344568,134344874
949-1610,1,134361548,134362168
950-1610,1,134405951,134406174
951-1610,1,134415248,134415959
952-1610,1,134455275,134455836
953-1611,1,134494514,134494948
954-1611,1,134513328,134513584
